scope_version,registry_version,policy_version,input_contract_hash,ticker,universe_role,calibration_cohort,industry,primary_archetype,applicability_tags,development_overlay,metric_id,metric_pack,source_lane,applicability_status,applicability_reason,unit_contract,period_type,max_staleness_days,scoring_posture,comparison_population,bounds_policy,discovery_status
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,unit_cost,air,DP,APPLICABLE,tag_match:passenger_airline,currency_per_capacity_unit,fiscal_period,550,negative,matching_currency_and_capacity_unit,nonnegative,coverage_pending
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,unit_cost_ex_fuel,air,DP,APPLICABLE,tag_match:passenger_airline,currency_per_capacity_unit,fiscal_period,550,negative,matching_adjustment_and_capacity_unit,nonnegative,coverage_pending
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,fuel_price_per_gallon,air,DP,APPLICABLE,tag_match:passenger_airline,currency_per_gallon,fiscal_period,550,negative,matching_hedging_treatment,nonnegative,coverage_pending
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,fuel_efficiency_per_capacity_unit,air,DP-D,APPLICABLE,tag_match:passenger_airline,fuel_per_capacity_unit,fiscal_period,550,negative,matching_capacity_unit,nonnegative,coverage_pending
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,fuel_cost_per_capacity_unit,air,DP-D,APPLICABLE,tag_match:passenger_airline,currency_per_capacity_unit,fiscal_period,550,negative,matching_currency_and_capacity_unit,nonnegative,coverage_pending
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,aircraft_utilization_hours,air,DP,APPLICABLE,tag_match:passenger_airline,hours_per_aircraft_day,fiscal_period,550,positive,matching_airline_or_lessor_population,nonnegative,coverage_pending
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,ancillary_revenue_per_passenger,air,DP,APPLICABLE,tag_match:passenger_airline,currency_per_passenger,fiscal_period,550,positive,matching_currency_and_definition,nonnegative,coverage_pending
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,passenger_throughput_growth,air,DP,NOT_APPLICABLE,no_applicable_archetype_tag,ratio,fiscal_period,550,positive,matching_airport_scope,growth_ratio,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,cargo_throughput_growth,air,DP,NOT_APPLICABLE,no_applicable_archetype_tag,ratio,fiscal_period,550,positive,matching_cargo_unit_and_airport_scope,growth_ratio,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,aircraft_movements_growth,air,DP,NOT_APPLICABLE,no_applicable_archetype_tag,ratio,fiscal_period,550,positive,matching_airport_scope,growth_ratio,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,aeronautical_revenue_per_passenger,air,DP-D,NOT_APPLICABLE,no_applicable_archetype_tag,currency_per_passenger,fiscal_period,550,positive,matching_currency_and_airport_scope,nonnegative,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,non_aeronautical_revenue_per_passenger,air,DP-D,NOT_APPLICABLE,no_applicable_archetype_tag,currency_per_passenger,fiscal_period,550,positive,matching_currency_and_airport_scope,nonnegative,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,lease_utilization,air,DP,NOT_APPLICABLE,no_applicable_archetype_tag,ratio,fiscal_period,550,positive,aircraft_lessor,ratio_0_1,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,lease_rate_factor,air,DP,NOT_APPLICABLE,no_applicable_archetype_tag,ratio,fiscal_period,550,positive,matching_aircraft_value_definition,ratio_0_2,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,lease_collection_rate,air,DP,NOT_APPLICABLE,no_applicable_archetype_tag,ratio,fiscal_period,550,positive,matching_rent_due_definition,ratio_0_2,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,weighted_average_lease_term_remaining,air,DP,NOT_APPLICABLE,no_applicable_archetype_tag,years,point_in_time,550,context,aircraft_lessor,years_0_100,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,owned_or_managed_aircraft_count,air,DP,NOT_APPLICABLE,no_applicable_archetype_tag,count,point_in_time,550,context,within_issuer_ownership_class,nonnegative_integer,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,aircraft_fleet_age,air,DP,APPLICABLE,tag_match:passenger_airline,years,point_in_time,550,negative,matching_owned_or_leased_scope,years_0_100,coverage_pending
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,maintenance_service_event_growth,air,DP,NOT_APPLICABLE,no_applicable_archetype_tag,ratio,fiscal_period,550,positive,matching_service_event_unit,growth_ratio,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,aviation_maintenance_intensity,air,DP,APPLICABLE,tag_match:passenger_airline,ratio,fiscal_period,550,context,matching_maintenance_subtype,ratio_0_5,coverage_pending
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,contracted_aviation_backlog,air,DP,NOT_APPLICABLE,no_applicable_archetype_tag,currency_or_service_units,point_in_time,550,positive,matching_unit_and_service_type,nonnegative,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,completion_factor,air,DP,APPLICABLE,tag_match:passenger_airline,ratio,fiscal_period,550,positive,matching_airline_type,ratio_0_1,coverage_pending
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,on_time_performance,air,DP,APPLICABLE,tag_match:passenger_airline,ratio,fiscal_period,550,positive,matching_threshold_and_airline_type,ratio_0_1,coverage_pending
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,aircraft_orderbook_commitments,air,DP,APPLICABLE,tag_match:passenger_airline,count_and_currency,point_in_time,550,context,matching_firm_order_scope,nonnegative,coverage_pending
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,vessel_count,marine,DP,NOT_APPLICABLE,no_applicable_archetype_tag,count,point_in_time,550,context,within_issuer_fleet_category,nonnegative_integer,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,fleet_capacity,marine,DP,NOT_APPLICABLE,no_applicable_archetype_tag,segment_native_capacity,point_in_time,550,context,matching_segment_and_unit,nonnegative,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,fleet_capacity_growth,marine,DP-D,NOT_APPLICABLE,no_applicable_archetype_tag,ratio,fiscal_period,550,context,within_issuer_matching_segment_and_unit,growth_ratio,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,tce_day_rate,marine,DP,NOT_APPLICABLE,no_applicable_archetype_tag,currency_per_day,fiscal_period,550,positive,matching_segment_denominator_and_currency,nonnegative,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,spot_or_charter_day_rate,marine,DP,NOT_APPLICABLE,no_applicable_archetype_tag,currency_per_day,fiscal_period,550,positive,matching_charter_type_segment_and_currency,nonnegative,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,fleet_utilization,marine,DP,NOT_APPLICABLE,no_applicable_archetype_tag,ratio,fiscal_period,550,positive,matching_fleet_scope,ratio_0_1,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,charter_coverage_next_12m,marine,DP,NOT_APPLICABLE,no_applicable_archetype_tag,ratio,forward_12m,200,positive,matching_capacity_denominator,ratio_0_1,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,contracted_revenue_backlog,marine,DP,NOT_APPLICABLE,no_applicable_archetype_tag,currency,point_in_time,550,positive,matching_currency_and_contract_scope,nonnegative,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,weighted_average_charter_term,marine,DP,NOT_APPLICABLE,no_applicable_archetype_tag,years,point_in_time,550,context,matching_fleet_scope,years_0_100,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,fleet_age,marine,DP,NOT_APPLICABLE,no_applicable_archetype_tag,years,point_in_time,550,negative,matching_owned_or_operated_scope,years_0_100,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,SKYW,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,newbuild_capacity_commitments,marine,DP,NOT_APPLICABLE,no_applicable_archetype_tag,count_and_segment_native_capacity,point_in_time,550,context,matching_segment_and_firm_scope,nonnegative,not_applicable
